epoch,loss,val_acc,test_acc,epoch_time_s
1,1.9500,0.0720,0.0910,0.050
2,1.9458,0.0700,0.0910,0.042
3,1.9398,0.2000,0.2500,0.039
4,1.9318,0.1220,0.1300,0.035
5,1.9270,0.1220,0.1300,0.036
6,1.9089,0.1280,0.1350,0.042
7,1.8965,0.1980,0.2080,0.042
8,1.8662,0.2680,0.2780,0.038
9,1.8273,0.2960,0.3100,0.032
10,1.7697,0.3040,0.3180,0.040
11,1.7051,0.3140,0.3250,0.038
12,1.6215,0.2940,0.3150,0.051
13,1.5555,0.3000,0.3140,0.031
14,1.4574,0.3400,0.3690,0.041
15,1.3577,0.4320,0.4410,0.052
16,1.2456,0.5640,0.5500,0.048
17,1.1383,0.5360,0.5370,0.050
18,1.0669,0.5680,0.5660,0.045
19,0.9608,0.5860,0.5670,0.045
20,0.9118,0.6520,0.6660,0.070
21,0.8084,0.7160,0.7250,0.074
22,0.7701,0.7100,0.7070,0.044
23,0.6230,0.7160,0.7280,0.039
24,0.5693,0.7280,0.7420,0.049
25,0.5081,0.7280,0.7400,0.049
26,0.4706,0.7260,0.7420,0.042
27,0.3762,0.7220,0.7240,0.044
28,0.3514,0.7380,0.7350,0.042
29,0.3165,0.7400,0.7620,0.043
30,0.2448,0.7340,0.7660,0.039
31,0.2534,0.7420,0.7710,0.041
32,0.2040,0.7500,0.7590,0.045
33,0.1695,0.7520,0.7570,0.044
34,0.1637,0.7580,0.7660,0.039
35,0.1250,0.7600,0.7790,0.041
36,0.0963,0.7600,0.7780,0.041
37,0.1099,0.7600,0.7800,0.042
38,0.0960,0.7640,0.7770,0.046
39,0.0974,0.7600,0.7700,0.046
40,0.0645,0.7380,0.7600,0.040
41,0.0684,0.7460,0.7610,0.049
42,0.0657,0.7500,0.7640,0.040
43,0.0734,0.7520,0.7690,0.038
44,0.0616,0.7540,0.7660,0.036
45,0.0586,0.7620,0.7860,0.034
46,0.0416,0.7740,0.7980,0.033
47,0.0528,0.7720,0.7910,0.038
48,0.0357,0.7600,0.7760,0.037
49,0.0471,0.7740,0.7650,0.056
50,0.0498,0.7680,0.7710,0.046
51,0.0427,0.7560,0.7620,0.034
