epoch,loss,val_acc,test_acc,epoch_time_s
152,0.0301,0.7540,0.7280,0.030
153,0.0331,0.7200,0.7230,0.026
154,0.0351,0.7500,0.7500,0.034
155,0.0183,0.7620,0.7590,0.027
156,0.0155,0.7780,0.7550,0.030
157,0.0239,0.7740,0.7680,0.032
158,0.0396,0.7540,0.7490,0.026
159,0.0281,0.7380,0.7540,0.035
160,0.0236,0.7520,0.7590,0.027
161,0.0182,0.7600,0.7510,0.033
162,0.0133,0.7740,0.7370,0.020
163,0.0231,0.7640,0.7440,0.038
164,0.0338,0.7600,0.7420,0.025
165,0.0121,0.7340,0.7330,0.033
166,0.0148,0.7240,0.7350,0.029
167,0.0139,0.7380,0.7540,0.027
168,0.0196,0.7600,0.7660,0.028
169,0.0361,0.7580,0.7750,0.030
170,0.0165,0.7680,0.7730,0.028
171,0.0228,0.7760,0.7650,0.024
172,0.0161,0.7680,0.7630,0.026
173,0.0188,0.7540,0.7530,0.045
174,0.0279,0.7440,0.7340,0.038
175,0.0173,0.7500,0.7380,0.023
176,0.0128,0.7540,0.7460,0.028
177,0.0182,0.7600,0.7690,0.030
178,0.0224,0.7620,0.7730,0.024
179,0.0218,0.7640,0.7700,0.030
180,0.0150,0.7620,0.7630,0.031
181,0.0218,0.7660,0.7600,0.091
182,0.0209,0.7660,0.7600,0.030
183,0.0200,0.7700,0.7700,0.032
184,0.0143,0.7660,0.7790,0.020
185,0.0209,0.7620,0.7630,0.030
186,0.0161,0.7540,0.7550,0.032
187,0.0146,0.7460,0.7400,0.030
188,0.0298,0.7600,0.7550,0.028
189,0.0224,0.7620,0.7610,0.030
190,0.0240,0.7780,0.7710,0.028
191,0.0246,0.7560,0.7680,0.034
192,0.0188,0.7480,0.7700,0.032
193,0.0237,0.7440,0.7660,0.026
194,0.0144,0.7580,0.7540,0.030
195,0.0253,0.7600,0.7610,0.028
196,0.0121,0.7680,0.7440,0.030
197,0.0203,0.7600,0.7400,0.024
198,0.0199,0.7540,0.7560,0.028
199,0.0126,0.7540,0.7590,0.030
200,0.0171,0.7600,0.7590,0.030
201,0.0128,0.7680,0.7620,0.032
202,0.0186,0.7640,0.7590,0.028
203,0.0223,0.7600,0.7520,0.030
204,0.0123,0.7520,0.7460,0.034
205,0.0247,0.7500,0.7430,0.036
206,0.0195,0.7560,0.7470,0.030
207,0.0153,0.7560,0.7460,0.025
208,0.0327,0.7460,0.7330,0.031
209,0.0136,0.7420,0.7270,0.026
210,0.0201,0.7560,0.7500,0.026
211,0.0206,0.7600,0.7610,0.029
212,0.0194,0.7640,0.7630,0.027
213,0.0246,0.7600,0.7600,0.031
214,0.0151,0.7500,0.7520,0.031
215,0.0169,0.7400,0.7470,0.027
216,0.0151,0.7460,0.7480,0.029
217,0.0306,0.7540,0.7480,0.035
218,0.0239,0.7640,0.7480,0.026
219,0.0201,0.7740,0.7540,0.026
220,0.0251,0.7580,0.7560,0.024
221,0.0225,0.7540,0.7440,0.034
222,0.0170,0.7460,0.7490,0.030
223,0.0322,0.7600,0.7670,0.030
224,0.0138,0.7780,0.7620,0.023
225,0.0255,0.7740,0.7570,0.035
226,0.0135,0.7700,0.7410,0.032
227,0.0211,0.7220,0.7220,0.032
228,0.0238,0.7220,0.7320,0.032
229,0.0265,0.7520,0.7570,0.026
230,0.0163,0.7620,0.7710,0.030
231,0.0202,0.7660,0.7800,0.030
232,0.0172,0.7640,0.7780,0.029
233,0.0202,0.7660,0.7730,0.033
234,0.0166,0.7620,0.7530,0.030
235,0.0156,0.7560,0.7510,0.032
236,0.0278,0.7620,0.7670,0.028
237,0.0167,0.7680,0.7730,0.028
238,0.0111,0.7660,0.7730,0.036
239,0.0154,0.7700,0.7750,0.034
240,0.0159,0.7600,0.7720,0.032
241,0.0110,0.7580,0.7620,0.032
242,0.0155,0.7560,0.7570,0.029
243,0.0102,0.7520,0.7540,0.028
244,0.0212,0.7580,0.7530,0.030
245,0.0108,0.7660,0.7530,0.040
246,0.0190,0.7640,0.7500,0.063
247,0.0155,0.7600,0.7610,0.045
248,0.0182,0.7560,0.7740,0.044
249,0.0283,0.7560,0.7670,0.038
250,0.0191,0.7620,0.7710,0.033
251,0.0154,0.7560,0.7640,0.026
252,0.0155,0.7560,0.7540,0.032
253,0.0157,0.7400,0.7360,0.035
254,0.0377,0.7620,0.7510,0.028
255,0.0216,0.7740,0.7690,0.032
256,0.0140,0.7700,0.7710,0.032
257,0.0299,0.7640,0.7630,0.026
258,0.0200,0.7540,0.7480,0.029
259,0.0220,0.7620,0.7330,0.030
260,0.0246,0.7640,0.7470,0.034
261,0.0243,0.7560,0.7540,0.032
262,0.0241,0.7640,0.7660,0.035
263,0.0121,0.7480,0.7470,0.037
264,0.0322,0.7520,0.7620,0.028
265,0.0209,0.7700,0.7680,0.030
266,0.0202,0.7800,0.7630,0.027
267,0.0220,0.7680,0.7550,0.033
268,0.0184,0.7380,0.7350,0.038
269,0.0177,0.7400,0.7390,0.031
270,0.0271,0.7720,0.7640,0.033
271,0.0128,0.7720,0.7720,0.032
272,0.0133,0.7600,0.7770,0.034
273,0.0280,0.7620,0.7730,0.032
274,0.0164,0.7560,0.7540,0.034
275,0.0262,0.7620,0.7460,0.036
276,0.0184,0.7580,0.7430,0.032
277,0.0129,0.7640,0.7510,0.032
278,0.0294,0.7660,0.7570,0.026
279,0.0186,0.7700,0.7670,0.034
280,0.0149,0.7500,0.7580,0.026
281,0.0185,0.7520,0.7490,0.030
282,0.0089,0.7540,0.7490,0.030
283,0.0158,0.7640,0.7560,0.030
284,0.0145,0.7660,0.7630,0.032
285,0.0184,0.7560,0.7550,0.028
286,0.0083,0.7700,0.7600,0.028
287,0.0220,0.7580,0.7560,0.032
288,0.0150,0.7640,0.7530,0.022
289,0.0145,0.7580,0.7420,0.035
290,0.0137,0.7400,0.7400,0.033
291,0.0179,0.7560,0.7530,0.030
292,0.0198,0.7640,0.7650,0.030
293,0.0134,0.7620,0.7620,0.024
294,0.0135,0.7500,0.7520,0.031
295,0.0147,0.7540,0.7380,0.025
296,0.0250,0.7600,0.7370,0.030
297,0.0150,0.7600,0.7400,0.030
298,0.0271,0.7660,0.7540,0.024
299,0.0201,0.7540,0.7660,0.031
300,0.0168,0.7540,0.7640,0.035
301,0.0313,0.7500,0.7370,0.040
302,0.0262,0.7560,0.7580,0.032
303,0.0172,0.7520,0.7490,0.028
304,0.0208,0.7560,0.7400,0.032
305,0.0233,0.7580,0.7270,0.033
306,0.0098,0.7260,0.7170,0.037
307,0.0468,0.7520,0.7420,0.032
308,0.0099,0.7660,0.7530,0.029
309,0.0147,0.7780,0.7720,0.027
310,0.0219,0.7720,0.7800,0.030
311,0.0189,0.7680,0.7750,0.030
312,0.0202,0.7640,0.7690,0.030
313,0.0095,0.7700,0.7490,0.036
314,0.0146,0.7600,0.7420,0.038
315,0.0098,0.7600,0.7430,0.030
316,0.0268,0.7760,0.7510,0.020
317,0.0171,0.7780,0.7580,0.033
318,0.0108,0.7740,0.7680,0.023
319,0.0168,0.7700,0.7650,0.027
320,0.0133,0.7680,0.7580,0.029
321,0.0111,0.7680,0.7640,0.031
322,0.0190,0.7680,0.7600,0.031
323,0.0205,0.7620,0.7580,0.032
324,0.0189,0.7640,0.7550,0.033
325,0.0199,0.7640,0.7550,0.027
326,0.0131,0.7560,0.7410,0.025
327,0.0175,0.7420,0.7290,0.035
328,0.0290,0.7640,0.7570,0.030
329,0.0132,0.7680,0.7840,0.034
330,0.0136,0.7680,0.7850,0.031
331,0.0369,0.7660,0.7700,0.031
332,0.0124,0.7540,0.7470,0.028
333,0.0202,0.7460,0.7460,0.026
334,0.0192,0.7520,0.7530,0.040
335,0.0154,0.7620,0.7540,0.030
336,0.0194,0.7680,0.7580,0.030
337,0.0139,0.7680,0.7650,0.030
338,0.0153,0.7600,0.7640,0.030
339,0.0145,0.7580,0.7670,0.030
340,0.0089,0.7540,0.7690,0.029
341,0.0392,0.7520,0.7570,0.035
342,0.0136,0.7500,0.7470,0.033
343,0.0181,0.7620,0.7490,0.028
344,0.0175,0.7620,0.7570,0.032
345,0.0209,0.7600,0.7610,0.025
346,0.0105,0.7600,0.7660,0.031
347,0.0127,0.7680,0.7750,0.028
348,0.0158,0.7700,0.7800,0.028
349,0.0138,0.7720,0.7770,0.028
350,0.0158,0.7640,0.7590,0.030
351,0.0212,0.7720,0.7550,0.030
352,0.0137,0.7720,0.7600,0.030
353,0.0138,0.7640,0.7530,0.030
354,0.0169,0.7660,0.7620,0.028
355,0.0215,0.7680,0.7680,0.027
356,0.0133,0.7640,0.7610,0.028
357,0.0174,0.7620,0.7720,0.026
358,0.0210,0.7660,0.7720,0.036
359,0.0183,0.7560,0.7550,0.034
360,0.0141,0.7500,0.7400,0.032
361,0.0200,0.7540,0.7390,0.038
362,0.0193,0.7580,0.7540,0.030
363,0.0156,0.7580,0.7550,0.032
364,0.0293,0.7700,0.7760,0.028
365,0.0200,0.7760,0.7710,0.030
366,0.0115,0.7660,0.7690,0.040
367,0.0311,0.7580,0.7380,0.042
368,0.0181,0.7240,0.7140,0.030
369,0.0304,0.7520,0.7460,0.028
370,0.0188,0.7620,0.7750,0.032
371,0.0144,0.7640,0.7790,0.033
372,0.0161,0.7700,0.7810,0.031
373,0.0137,0.7680,0.7790,0.026
374,0.0138,0.7580,0.7690,0.040
375,0.0086,0.7480,0.7450,0.031
376,0.0320,0.7600,0.7660,0.028
377,0.0176,0.7720,0.7730,0.027
378,0.0199,0.7640,0.7810,0.029
379,0.0124,0.7720,0.7840,0.024
380,0.0156,0.7680,0.7750,0.030
381,0.0186,0.7720,0.7870,0.036
382,0.0141,0.7680,0.7790,0.032
383,0.0110,0.7660,0.7730,0.034
384,0.0117,0.7620,0.7730,0.037
385,0.0110,0.7640,0.7720,0.034
386,0.0187,0.7780,0.7750,0.041
387,0.0128,0.7740,0.7620,0.037
388,0.0155,0.7580,0.7620,0.022
389,0.0191,0.7680,0.7770,0.034
390,0.0115,0.7740,0.7740,0.030
391,0.0173,0.7700,0.7680,0.025
392,0.0136,0.7680,0.7610,0.026
393,0.0148,0.7500,0.7480,0.030
394,0.0164,0.7540,0.7640,0.025
395,0.0158,0.7620,0.7760,0.027
396,0.0174,0.7600,0.7680,0.028
397,0.0281,0.7640,0.7680,0.025
398,0.0134,0.7640,0.7690,0.033
399,0.0125,0.7580,0.7690,0.032
400,0.0211,0.7760,0.7720,0.036
401,0.0097,0.7760,0.7670,0.027
402,0.0138,0.7740,0.7730,0.030
403,0.0131,0.7720,0.7760,0.028
404,0.0149,0.7820,0.7770,0.030
405,0.0135,0.7580,0.7640,0.032
406,0.0127,0.7500,0.7530,0.028
407,0.0189,0.7640,0.7690,0.030
408,0.0159,0.7700,0.7720,0.030
409,0.0186,0.7820,0.7750,0.030
410,0.0203,0.7820,0.7660,0.030
411,0.0129,0.7720,0.7500,0.030
412,0.0117,0.7520,0.7400,0.035
413,0.0139,0.7540,0.7430,0.025
414,0.0193,0.7640,0.7580,0.034
415,0.0106,0.7780,0.7710,0.028
416,0.0104,0.7680,0.7680,0.028
417,0.0164,0.7760,0.7640,0.028
418,0.0168,0.7660,0.7520,0.032
419,0.0173,0.7380,0.7260,0.030
420,0.0232,0.7480,0.7490,0.024
421,0.0246,0.7700,0.7800,0.038
422,0.0285,0.7640,0.7780,0.028
423,0.0354,0.7520,0.7600,0.038
424,0.0196,0.6900,0.7040,0.030
425,0.0271,0.7120,0.7150,0.028
426,0.0295,0.7640,0.7430,0.030
427,0.0348,0.7700,0.7660,0.032
428,0.0211,0.7820,0.7760,0.030
429,0.0145,0.7480,0.7680,0.033
430,0.0352,0.7720,0.7570,0.027
431,0.0109,0.7360,0.7390,0.025
432,0.0116,0.7140,0.7050,0.026
