timestep,ep_rew_mean,ep_len_mean,wall_time_s
21,4.4209,20.0,0.6
22,4.4209,20.0,0.6
23,4.4209,20.0,0.6
24,4.4209,20.0,0.7
25,4.4209,20.0,0.7
26,4.4209,20.0,0.7
27,4.4209,20.0,0.7
28,4.4209,20.0,0.7
29,4.4209,20.0,0.8
30,4.4209,20.0,0.8
31,4.4209,20.0,0.8
32,4.4209,20.0,0.8
33,4.4209,20.0,0.9
34,4.4209,20.0,0.9
35,4.4209,20.0,0.9
36,4.4209,20.0,0.9
37,4.4209,20.0,1.0
38,4.4209,20.0,1.0
39,4.4209,20.0,1.0
40,4.4209,20.0,1.0
41,4.4209,20.0,1.1
42,4.4209,20.0,1.1
43,4.4209,20.0,1.1
44,4.4209,20.0,1.1
45,4.4209,20.0,1.2
46,4.4209,20.0,1.2
47,4.4209,20.0,1.2
48,4.4209,20.0,1.3
49,4.4209,20.0,1.3
50,4.4209,20.0,1.3
51,4.4209,20.0,1.3
52,4.4209,20.0,1.3
53,4.4209,20.0,1.4
54,4.4209,20.0,1.4
55,4.4209,20.0,1.4
56,4.4209,20.0,1.4
57,4.4209,20.0,1.5
58,4.4209,20.0,1.5
59,4.4209,20.0,1.5
60,4.4209,20.0,1.6
61,4.4209,20.0,1.6
62,4.4209,20.0,1.6
63,4.4209,20.0,1.6
64,4.4209,20.0,1.6
65,4.4209,20.0,1.7
66,4.4209,20.0,1.7
67,4.4209,20.0,1.7
68,4.4209,20.0,1.7
69,4.4209,20.0,1.8
70,4.4209,20.0,1.8
71,4.4209,20.0,1.8
72,4.4209,20.0,1.8
73,4.4209,20.0,1.9
74,4.4209,20.0,1.9
75,4.4209,20.0,1.9
76,4.4209,20.0,1.9
77,4.4209,20.0,1.9
78,4.4209,20.0,2.0
79,4.4209,20.0,2.0
80,4.4209,20.0,2.0
81,4.4209,20.0,2.0
82,4.4209,20.0,2.0
83,4.4209,20.0,2.1
84,4.4209,20.0,2.1
85,4.4209,20.0,2.1
86,4.4209,20.0,2.1
87,4.4209,20.0,2.2
88,4.4209,20.0,2.2
89,4.4209,20.0,2.2
90,4.4209,20.0,2.2
91,4.4209,20.0,2.2
92,4.4209,20.0,2.3
93,4.4209,20.0,2.3
94,4.4209,20.0,2.3
95,4.4209,20.0,2.3
96,4.4209,20.0,2.4
97,4.4209,20.0,2.4
98,4.4209,20.0,2.4
99,4.4209,20.0,2.4
100,4.4209,20.0,2.5
101,4.4209,20.0,2.5
102,4.4209,20.0,2.5
103,4.4209,20.0,2.5
104,4.4209,20.0,2.6
105,4.4209,20.0,2.6
106,4.4209,20.0,2.6
107,4.4209,20.0,2.6
108,4.4209,20.0,2.6
109,4.4209,20.0,2.7
110,4.4209,20.0,2.7
111,4.4209,20.0,2.7
112,4.4209,20.0,2.7
113,4.4209,20.0,2.8
114,4.4209,20.0,2.8
115,4.4209,20.0,2.8
116,4.4209,20.0,2.8
117,4.4209,20.0,2.9
118,4.4209,20.0,2.9
119,4.4209,20.0,2.9
120,4.4209,20.0,2.9
121,4.4209,20.0,2.9
122,4.4209,20.0,3.0
123,4.4209,20.0,3.0
124,4.4209,20.0,3.0
125,4.4209,20.0,3.0
126,4.4209,20.0,3.0
127,4.4209,20.0,3.1
128,4.4209,20.0,3.1
129,4.4209,20.0,3.1
130,4.4209,20.0,3.2
131,4.4209,20.0,3.2
132,4.4209,20.0,3.2
133,4.4209,20.0,3.2
134,4.4209,20.0,3.3
135,4.4209,20.0,3.3
136,4.4209,20.0,3.3
137,4.4209,20.0,3.3
138,4.4209,20.0,3.3
139,4.4209,20.0,3.4
140,4.4209,20.0,3.4
141,4.4209,20.0,3.4
142,4.4209,20.0,3.4
143,4.4209,20.0,3.4
144,4.4209,20.0,3.5
145,4.4209,20.0,3.5
146,4.4209,20.0,3.5
147,4.4209,20.0,3.6
148,4.4209,20.0,3.6
149,4.4209,20.0,3.6
150,4.4209,20.0,3.6
151,4.4209,20.0,3.6
152,4.4209,20.0,3.7
153,4.4209,20.0,3.7
154,4.4209,20.0,3.7
155,4.4209,20.0,3.7
156,4.4209,20.0,3.7
157,4.4209,20.0,3.8
158,4.4209,20.0,3.8
159,4.4209,20.0,3.8
160,4.4209,20.0,3.8
161,4.4209,20.0,3.8
162,4.4209,20.0,3.9
163,4.4209,20.0,3.9
164,4.4209,20.0,3.9
165,4.4209,20.0,3.9
166,4.4209,20.0,4.0
167,4.4209,20.0,4.0
168,4.4209,20.0,4.0
169,4.4209,20.0,4.0
170,4.4209,20.0,4.1
171,4.4209,20.0,4.1
172,4.4209,20.0,4.1
173,4.4209,20.0,4.2
174,4.4209,20.0,4.2
175,4.4209,20.0,4.2
176,4.4209,20.0,4.2
177,4.4209,20.0,4.2
178,4.4209,20.0,4.3
179,4.4209,20.0,4.3
180,4.4209,20.0,4.3
181,4.4209,20.0,4.4
182,4.4209,20.0,4.4
183,4.4209,20.0,4.4
184,4.4209,20.0,4.4
185,4.4209,20.0,4.4
186,4.4209,20.0,4.5
187,4.4209,20.0,4.5
188,4.4209,20.0,4.5
