epoch,loss,val_acc,test_acc,epoch_time_s
1,1.9489,0.0580,0.0640,0.063
2,1.9455,0.0580,0.0640,0.047
3,1.9409,0.0620,0.0660,0.044
4,1.9350,0.3100,0.3440,0.042
5,1.9262,0.3200,0.3360,0.039
6,1.9171,0.3440,0.3480,0.041
7,1.9031,0.3800,0.3910,0.040
8,1.8707,0.4320,0.4240,0.039
9,1.8315,0.4520,0.4400,0.040
10,1.7926,0.4620,0.4670,0.043
11,1.7288,0.4800,0.4950,0.045
12,1.6619,0.5180,0.5470,0.046
13,1.5484,0.6020,0.6180,0.053
14,1.4299,0.6200,0.6560,0.052
15,1.3266,0.6800,0.7200,0.048
16,1.1855,0.7040,0.7460,0.065
17,1.0860,0.7120,0.7550,0.053
18,0.9393,0.7100,0.7260,0.048
19,0.8237,0.6800,0.7090,0.053
20,0.7072,0.7020,0.7390,0.060
21,0.6196,0.7160,0.7440,0.067
22,0.5627,0.7100,0.7430,0.057
23,0.4307,0.7260,0.7580,0.052
24,0.3669,0.7140,0.7570,0.050
25,0.3117,0.6980,0.7150,0.052
26,0.2653,0.7280,0.7360,0.049
27,0.2291,0.7580,0.7800,0.052
28,0.1936,0.7280,0.7760,0.049
29,0.1620,0.7580,0.7860,0.053
30,0.1387,0.7360,0.7330,0.051
31,0.1215,0.7180,0.7190,0.051
32,0.1323,0.7400,0.7540,0.048
33,0.0947,0.7400,0.7620,0.052
34,0.0997,0.7420,0.7670,0.059
35,0.0618,0.7560,0.7860,0.069
36,0.0595,0.7540,0.7750,0.054
37,0.0846,0.7620,0.7690,0.050
38,0.0701,0.7260,0.7470,0.050
39,0.0780,0.7280,0.7520,0.049
40,0.0476,0.7540,0.7630,0.047
41,0.0667,0.7560,0.7740,0.057
42,0.0924,0.7380,0.7620,0.048
43,0.0458,0.7240,0.7610,0.047
44,0.0521,0.7100,0.7410,0.047
45,0.0578,0.7000,0.7380,0.047
46,0.0502,0.7120,0.7370,0.049
47,0.0635,0.7380,0.7420,0.048
48,0.0555,0.7440,0.7580,0.045
49,0.0399,0.7440,0.7700,0.047
50,0.0547,0.7340,0.7720,0.049
51,0.0449,0.7460,0.7670,0.048
52,0.0525,0.7500,0.7830,0.050
53,0.0511,0.7440,0.7630,0.048
54,0.0270,0.7260,0.7360,0.062
55,0.0466,0.7200,0.7280,0.055
56,0.0213,0.7200,0.7330,0.046
57,0.0291,0.7240,0.7470,0.049
58,0.0337,0.7240,0.7610,0.047
59,0.0293,0.7200,0.7720,0.048
60,0.0417,0.7420,0.7780,0.047
61,0.0287,0.7460,0.7680,0.050
62,0.0276,0.7380,0.7530,0.051
63,0.0517,0.7340,0.7440,0.050
64,0.0250,0.7180,0.7450,0.049
65,0.0299,0.7060,0.7410,0.047
66,0.0450,0.7400,0.7690,0.048
67,0.0267,0.7500,0.7820,0.049
68,0.0362,0.7600,0.7840,0.048
69,0.0598,0.7700,0.7930,0.048
70,0.0269,0.7540,0.7810,0.057
71,0.0297,0.7520,0.7700,0.054
72,0.0444,0.7420,0.7590,0.056
73,0.0384,0.7460,0.7580,0.049
74,0.0515,0.7540,0.7560,0.060
75,0.0267,0.7500,0.7570,0.052
76,0.0416,0.7380,0.7560,0.049
77,0.0437,0.7480,0.7700,0.048
78,0.0375,0.7580,0.7790,0.050
79,0.0243,0.7560,0.7710,0.049
80,0.0243,0.7540,0.7550,0.062
81,0.0297,0.7580,0.7590,0.059
82,0.0497,0.7660,0.7840,0.050
83,0.0259,0.7720,0.7790,0.049
84,0.0279,0.7480,0.7640,0.052
85,0.0258,0.7200,0.7560,0.048
86,0.0267,0.7140,0.7420,0.050
87,0.0461,0.7660,0.7650,0.049
88,0.0172,0.7800,0.7850,0.049
89,0.0300,0.7720,0.7870,0.052
90,0.0569,0.7640,0.7840,0.050
91,0.0184,0.7480,0.7590,0.048
92,0.0363,0.7420,0.7600,0.051
93,0.0177,0.7500,0.7690,0.050
94,0.0211,0.7560,0.7770,0.059
95,0.0234,0.7560,0.7810,0.049
96,0.0375,0.7480,0.7660,0.052
97,0.0299,0.7440,0.7640,0.049
98,0.0289,0.7460,0.7650,0.047
99,0.0353,0.7380,0.7720,0.052
100,0.0557,0.7820,0.8000,0.048
101,0.0322,0.7700,0.7870,0.052
102,0.0363,0.7600,0.7770,0.054
103,0.0191,0.7520,0.7730,0.049
104,0.0219,0.7300,0.7560,0.049
105,0.0229,0.7200,0.7360,0.049
106,0.0362,0.7300,0.7620,0.046
107,0.0221,0.7660,0.7840,0.049
108,0.0245,0.7640,0.7840,0.051
109,0.0166,0.7580,0.7820,0.052
110,0.0347,0.7500,0.7740,0.052
111,0.0179,0.7380,0.7530,0.051
112,0.0227,0.7300,0.7500,0.049
113,0.0226,0.7400,0.7530,0.071
114,0.0167,0.7440,0.7650,0.049
115,0.0244,0.7480,0.7750,0.049
116,0.0249,0.7640,0.7860,0.049
117,0.0268,0.7680,0.7900,0.049
118,0.0250,0.7620,0.7880,0.049
119,0.0338,0.7400,0.7760,0.052
120,0.0235,0.7320,0.7600,0.047
121,0.0455,0.7460,0.7630,0.052
122,0.0191,0.7460,0.7590,0.053
123,0.0307,0.7520,0.7750,0.055
124,0.0458,0.7400,0.7700,0.054
125,0.0310,0.7360,0.7640,0.051
126,0.0276,0.7480,0.7740,0.049
127,0.0296,0.7640,0.7760,0.049
128,0.0222,0.7580,0.7580,0.049
129,0.0342,0.7540,0.7640,0.048
130,0.0336,0.7520,0.7620,0.047
131,0.0211,0.7380,0.7450,0.051
132,0.0354,0.7260,0.7530,0.052
133,0.0274,0.7500,0.7760,0.067
134,0.0196,0.7500,0.7770,0.051
135,0.0280,0.7660,0.7870,0.051
136,0.0146,0.7680,0.7880,0.051
137,0.0334,0.7620,0.7800,0.051
138,0.0282,0.7600,0.7670,0.046
139,0.0225,0.7440,0.7490,0.048
140,0.0340,0.7620,0.7590,0.050
141,0.0162,0.7560,0.7830,0.055
142,0.0219,0.7660,0.7920,0.057
143,0.0299,0.7680,0.7950,0.054
144,0.0204,0.7640,0.7900,0.113
145,0.0392,0.7580,0.7870,0.094
146,0.0275,0.7580,0.7640,0.110
147,0.0146,0.7320,0.7290,0.127
148,0.0383,0.7580,0.7470,0.132
149,0.0143,0.7560,0.7760,0.139
150,0.0181,0.7540,0.7820,0.111
151,0.0166,0.7440,0.7780,0.114
152,0.0245,0.7760,0.7870,0.119
153,0.0162,0.7680,0.7820,0.119
154,0.0119,0.7600,0.7700,0.120
155,0.0171,0.7540,0.7620,0.118
156,0.0132,0.7400,0.7570,0.117
157,0.0198,0.7500,0.7650,0.121
158,0.0250,0.7600,0.7730,0.119
159,0.0164,0.7680,0.7800,0.118
160,0.0184,0.7660,0.7790,0.112
161,0.0213,0.7560,0.7700,0.119
162,0.0222,0.7520,0.7620,0.122
163,0.0404,0.7500,0.7660,0.122
164,0.0376,0.7660,0.7710,0.119
165,0.0147,0.7560,0.7700,0.117
166,0.0278,0.7620,0.7730,0.122
167,0.0202,0.7560,0.7760,0.126
168,0.0287,0.7640,0.7890,0.111
169,0.0266,0.7480,0.7680,0.121
170,0.0351,0.7580,0.7790,0.113
171,0.0349,0.7500,0.7720,0.120
172,0.0195,0.7360,0.7530,0.134
173,0.0193,0.7360,0.7490,0.113
174,0.0247,0.7480,0.7590,0.116
175,0.0194,0.7660,0.7840,0.120
176,0.0245,0.7580,0.7790,0.107
177,0.0280,0.7540,0.7780,0.154
178,0.0180,0.7600,0.7830,0.087
179,0.0229,0.7620,0.7800,0.050
180,0.0362,0.7560,0.7760,0.049
181,0.0289,0.7600,0.7740,0.052
182,0.0282,0.7620,0.7760,0.051
183,0.0208,0.7560,0.7740,0.051
184,0.0238,0.7480,0.7650,0.050
185,0.0173,0.7480,0.7560,0.057
186,0.0213,0.7600,0.7750,0.051
187,0.0265,0.7620,0.7790,0.048
188,0.0163,0.7580,0.7740,0.048
189,0.0192,0.7540,0.7700,0.046
190,0.0165,0.7540,0.7650,0.054
191,0.0159,0.7620,0.7590,0.053
192,0.0208,0.7520,0.7590,0.056
193,0.0202,0.7480,0.7670,0.054
194,0.0163,0.7640,0.7820,0.046
195,0.0296,0.7660,0.7850,0.053
196,0.0284,0.7580,0.7740,0.049
197,0.0317,0.7520,0.7810,0.054
198,0.0272,0.7680,0.7690,0.048
199,0.0257,0.7580,0.7640,0.048
200,0.0261,0.7520,0.7550,0.047
