timestep,ep_rew_mean,ep_len_mean,wall_time_s
21,10.5019,20.0,0.7
22,10.5019,20.0,0.7
23,10.5019,20.0,0.8
24,10.5019,20.0,0.8
25,10.5019,20.0,0.8
26,10.5019,20.0,0.9
27,10.5019,20.0,0.9
28,10.5019,20.0,0.9
29,10.5019,20.0,0.9
30,10.5019,20.0,1.0
31,10.5019,20.0,1.0
32,10.5019,20.0,1.0
33,10.5019,20.0,1.0
34,10.5019,20.0,1.1
35,10.5019,20.0,1.1
36,10.5019,20.0,1.1
37,10.5019,20.0,1.2
38,10.5019,20.0,1.2
39,10.5019,20.0,1.2
40,10.5019,20.0,1.2
41,10.5019,20.0,1.3
42,10.5019,20.0,1.3
43,10.5019,20.0,1.3
44,10.5019,20.0,1.3
45,10.5019,20.0,1.4
46,10.5019,20.0,1.4
47,10.5019,20.0,1.4
48,10.5019,20.0,1.4
49,10.5019,20.0,1.4
50,10.5019,20.0,1.5
51,10.5019,20.0,1.5
52,10.5019,20.0,1.5
53,10.5019,20.0,1.5
54,10.5019,20.0,1.6
55,10.5019,20.0,1.6
56,10.5019,20.0,1.6
57,10.5019,20.0,1.6
58,10.5019,20.0,1.7
59,10.5019,20.0,1.7
60,10.5019,20.0,1.7
61,10.5019,20.0,1.7
62,10.5019,20.0,1.8
63,10.5019,20.0,1.8
64,10.5019,20.0,1.8
65,10.5019,20.0,1.8
66,10.5019,20.0,1.8
67,10.5019,20.0,1.9
68,10.5019,20.0,1.9
69,10.5019,20.0,1.9
70,10.5019,20.0,1.9
71,10.5019,20.0,1.9
72,10.5019,20.0,2.0
73,10.5019,20.0,2.0
74,10.5019,20.0,2.0
75,10.5019,20.0,2.0
76,10.5019,20.0,2.1
77,10.5019,20.0,2.1
78,10.5019,20.0,2.1
79,10.5019,20.0,2.1
80,10.5019,20.0,2.2
81,10.5019,20.0,2.2
82,10.5019,20.0,2.2
83,10.5019,20.0,2.2
84,10.5019,20.0,2.2
85,10.5019,20.0,2.3
86,10.5019,20.0,2.3
87,10.5019,20.0,2.3
88,10.5019,20.0,2.4
89,10.5019,20.0,2.4
90,10.5019,20.0,2.4
91,10.5019,20.0,2.4
92,10.5019,20.0,2.4
93,10.5019,20.0,2.5
94,10.5019,20.0,2.5
95,10.5019,20.0,2.5
96,10.5019,20.0,2.5
97,10.5019,20.0,2.5
98,10.5019,20.0,2.6
99,10.5019,20.0,2.6
100,10.5019,20.0,2.6
101,10.5019,20.0,2.6
102,10.5019,20.0,2.7
103,10.5019,20.0,2.7
104,10.5019,20.0,2.7
105,10.5019,20.0,2.7
106,10.5019,20.0,2.8
107,10.5019,20.0,2.8
108,10.5019,20.0,2.8
