>,8.0625,
-,1.0,
>,8.0625,
-,1.0,
>,8.0625,
-,1.0,
.,19.293781281,
.,12.114158630,
>,8.659375,
-,1.0,
MAX REWD: 8.659375 MODEL_ID: 1,
.,12.532884598,
.,13.740793228,
.,10.266557693,
.,10.437019348,
.,10.485638618,
.,10.338914871,
.,9.894704819,
.,10.297876358,
.,9.372602463,
.,10.707085609,
.,12.979040146,
.,11.112213135,
.,10.122814178,
.,9.241806030,
.,9.179262161,
.,9.549079895,
.,11.208768845,
.,8.365423203,
.,11.239096642,
.,9.011060715,
>,8.0625,
-,1.0,
.,19.293781281,
.,12.114158630,
>,8.659375,
-,1.0,
MAX REWD: 8.659375 MODEL_ID: 1,
.,12.532884598,
.,13.740793228,
.,10.266557693,
.,10.437019348,
.,10.485638618,
.,10.338914871,
.,9.894704819,
.,10.297876358,
.,9.372602463,
.,10.707085609,
.,12.979040146,
.,11.112213135,
.,10.122814178,
.,9.241806030,
.,9.179262161,
.,9.549079895,
.,11.208768845,
.,8.365423203,
.,11.239096642,
.,9.011060715,
>,8.0625,
-,1.0,
.,19.293781281,
.,12.114158630,
>,8.659375,
-,1.0,
MAX REWD: 8.659375 MODEL_ID: 1,
.,12.532884598,
.,13.740793228,
.,10.266557693,
.,10.437019348,
.,10.485638618,
.,10.338914871,
.,9.894704819,
.,10.297876358,
.,9.372602463,
.,10.707085609,
.,12.979040146,
.,11.112213135,
.,10.122814178,
.,9.241806030,
.,9.179262161,
.,9.549079895,
.,11.208768845,
.,8.365423203,
.,11.239096642,
.,9.011060715,
.,8.992830276,
.,9.397441864,
.,9.313705444,
.,9.426588058,
.,9.189097404,
.,9.899182320,
.,9.169724464,
.,9.979715347,
.,7.899053574,
.,7.974088669,
.,10.736608505,
.,8.514830589,
.,8.081832886,
.,9.599472046,
.,9.312191010,
.,10.100999832,
.,9.777948380,
.,11.118754387,
.,7.820953369,
.,8.160047531,
>,6.14375,
-,1.0,
MAX REWD: 8.659375 MODEL_ID: 1,
.,12.543500900,
.,9.547987938,
.,11.225688934,
.,10.274770737,
>,8.275,
-,1.0,
.,13.571088791,
.,14.876308441,
>,8.1625,
-,1.0,
MAX REWD: 8.1625 MODEL_ID: 1,
.,13.885194778,
.,15.361999512,
.,10.425357819,
.,10.246222496,
.,11.862092972,
.,12.810982704,
.,11.457309723,
.,9.007326126,
.,9.701060295,
.,9.818525314,
.,8.868954659,
.,10.186107635,
.,8.755596161,
.,8.419632912,
.,10.690757751,
.,9.861261368,
.,8.617041588,
.,9.427549362,
.,7.717308998,
.,9.056504250,
.,9.745284081,
.,10.107299805,
.,8.313267708,
.,9.946577072,
.,8.260057449,
.,11.051797867,
.,10.745001793,
.,8.536490440,
.,10.782725334,
.,10.368371964,
.,8.963369370,
.,10.193489075,
.,9.443924904,
.,9.313079834,
.,11.070747375,
.,9.604037285,
.,9.041693687,
.,10.472438812,
.,8.642070770,
.,9.644383430,
>,7.1625,
-,1.0,
MAX REWD: 8.1625 MODEL_ID: 1,
.,10.351286888,
.,10.480396271,
.,9.689629555,
.,11.389215469,
.,8.773445129,
.,10.553052902,
.,8.734174728,
.,9.233066559,
.,10.959821701,
